name,url,group,datetime,start_time
February Project Night,http://www.meetup.com/bostonpython/events/226174544/,The Boston Python User Group,"Tuesday, February 2",6:30
Boston Python February Presentation,http://www.meetup.com/bostonpython/events/226992443/,The Boston Python User Group,"Tuesday, February 23",7:00
Boston Python March Project Night,http://www.meetup.com/bostonpython/events/227014403/,The Boston Python User Group,"Tuesday, March 8",7:00
March Presentation Night,http://www.meetup.com/bostonpython/events/227138003/,The Boston Python User Group,"Monday, March 21",7:00
Pycon Rehearsal 1,http://www.meetup.com/bostonpython/events/227220955/,The Boston Python User Group,"Tuesday, April 19",7:00
PyCon Rehearsal Night 2,http://www.meetup.com/bostonpython/events/227220925/,The Boston Python User Group,"Tuesday, April 26",7:00
PyCon Rehearsal Night 3,http://www.meetup.com/bostonpython/events/227342141/,The Boston Python User Group,"Thursday, May 5",7:00
PyCon Rehearsal Night 4,http://www.meetup.com/bostonpython/events/227306467/,The Boston Python User Group,"Monday, May 9",7:00
"Text analysis with R, Python and Spark",http://www.meetup.com/Boston-Data-Mining/events/228193949/,Boston Data Mining,"Wednesday, February 10",6:00
Social Data in the Reseach Lab,http://www.meetup.com/SocialDataBoston/events/225876414/,Social Data and Analytics Meetup - Boston,"Tuesday, February 16",6:30
Web Analytics Wednesday 2/24 @ Velir in Davis Sq,http://www.meetup.com/Boston-Digital-Analytics-Meetup/events/227570961/,Boston Digital Analytics Meetup,"Wednesday, February 24",6:30
Women in Fintech Breakfast featuring Dr. Vesna Straser,http://www.meetup.com/Boston-Algorithmic-Trading/events/228282780/,Boston Algorithmic Trading,"Wednesday, January 27",9:00
ML Forum [RSVP with Eventbrite],http://www.meetup.com/bostonml/events/227531465/,Boston Machine Learning,"Saturday, March 5",10:00
Dropping the puck. Data Viz live with the Bruins.,http://www.meetup.com/Boston-Sports-Analytics-Meetup/events/228269804/,Boston Sports Analytics,"Tuesday, February 2",6:00
